file,text,zip
2509.20279v1_A co-evolving agentic AI system for medical imaging analysis.pdf,2509.20279v1_A_co-evolving_agentic_AI_system_for_medical_imaging_analysis/clean_text.md,parser/2509.zip
2509.20280v1_HiPerformer_ A High-Performance Global-Local Segmentation Model with   Modular Hierarchical Fusion Strategy.pdf,2509.20280v1_HiPerformer__A_High-Performance_Global-Local_Segmentation_Model_with_Modular_Hierarchical_Fusion_Strategy/clean_text.md,parser/2509.zip
2509.20281v1_PerFace_ Metric Learning in Perceptual Facial Similarity for Enhanced   Face Anonymization.pdf,2509.20281v1_PerFace__Metric_Learning_in_Perceptual_Facial_Similarity_for_Enhanced_Face_Anonymization/clean_text.md,parser/2509.zip
2509.20295v1_FAST_ Foreground-aware Diffusion with Accelerated Sampling Trajectory   for Segmentation-oriented Anomaly Synthesis.pdf,2509.20295v1_FAST__Foreground-aware_Diffusion_with_Accelerated_Sampling_Trajectory_for_Segmentation-oriented_Anomaly_Synthesis/clean_text.md,parser/2509.zip
2509.20318v1_A Comprehensive Evaluation of YOLO-based Deer Detection Performance on   Edge Devices.pdf,2509.20318v1_A_Comprehensive_Evaluation_of_YOLO-based_Deer_Detection_Performance_on_Edge_Devices/clean_text.md,parser/2509.zip
2509.20322v1_VisualMimic_ Visual Humanoid Loco-Manipulation via Motion Tracking and   Generation.pdf,2509.20322v1_VisualMimic__Visual_Humanoid_Loco-Manipulation_via_Motion_Tracking_and_Generation/clean_text.md,parser/2509.zip
2509.20328v1_Video models are zero-shot learners and reasoners.pdf,2509.20328v1_Video_models_are_zero-shot_learners_and_reasoners/clean_text.md,parser/2509.zip
2509.20336v1_Uncovering Graph Reasoning in Decoder-only Transformers with Circuit   Tracing.pdf,2509.20336v1_Uncovering_Graph_Reasoning_in_Decoder-only_Transformers_with_Circuit_Tracing/clean_text.md,parser/2509.zip
2509.20338v1_Adaptive Event-Triggered Policy Gradient for Multi-Agent Reinforcement   Learning.pdf,2509.20338v1_Adaptive_Event-Triggered_Policy_Gradient_for_Multi-Agent_Reinforcement_Learning/clean_text.md,parser/2509.zip
2509.20341v1_Morphological Synthesizer for Ge'ez Language_ Addressing Morphological   Complexity and Resource Limitations.pdf,2509.20341v1_Morphological_Synthesizer_for_Ge_ez_Language__Addressing_Morphological_Complexity_and_Resource_Limitations/clean_text.md,parser/2509.zip
2509.20343v1_Efficient Encoder-Free Pose Conditioning and Pose Control for Virtual   Try-On.pdf,2509.20343v1_Efficient_Encoder-Free_Pose_Conditioning_and_Pose_Control_for_Virtual_Try-On/clean_text.md,parser/2509.zip
2509.20354v1_EmbeddingGemma_ Powerful and Lightweight Text Representations.pdf,2509.20354v1_EmbeddingGemma__Powerful_and_Lightweight_Text_Representations/clean_text.md,parser/2509.zip
2509.20358v1_PhysCtrl_ Generative Physics for Controllable and Physics-Grounded Video   Generation.pdf,2509.20358v1_PhysCtrl__Generative_Physics_for_Controllable_and_Physics-Grounded_Video_Generation/clean_text.md,parser/2509.zip
2509.20360v1_EditVerse_ Unifying Image and Video Editing and Generation with   In-Context Learning.pdf,2509.20360v1_EditVerse__Unifying_Image_and_Video_Editing_and_Generation_with_In-Context_Learning/clean_text.md,parser/2509.zip
